PersonId,FirstName,LastName,DOB,Address1,City,State,Zip,Email,GuardianEmail,Address1_normalized,City_normalized,Email_normalized,GuardianEmail_normalized,AddressKey,DOBtest,Age,GroupID
3001,Rowan,Moore,1993-08-23,1468 Main St.,Milton,PA,36896,rowan.moore@example.com,,1468 Main Street,MILTON,rowan.moore@example.com,,1468 Main StreetMILTONPA36896,1993-08-23,32.05201916495551,G-3001
3002,Casey,Moore,1986-08-23, 1468 Main Street ,Milton,PA,36896,casey.moore@test.org,,1468 Main Street,MILTON,casey.moore@test.org,,1468 Main StreetMILTONPA36896,1986-08-23,39.05270362765229,G-3001
3003,Morgan,Allen,1991-08-19,3468 Main St.,Milton,CA,87936,,,3468 Main Street,MILTON,,,3468 Main StreetMILTONCA87936,1991-08-19,34.064339493497606,G-3003
3004,Owen,Lewis,1979-07-30,7867 Maple St,Burlington,UT,12550,owen.lewis@family.net,,7867 Maple Street,BURLINGTON,owen.lewis@family.net,,7867 Maple StreetBURLINGTONUT12550,1979-07-30,46.119096509240244,G-3004
3005,Quinn,Lewis,1991-09-03,1448 Oak Street,Arlington,NJ,50993,quinn.lewis@demo.net,,1448 Oak Street,ARLINGTON,quinn.lewis@demo.net,,1448 Oak StreetARLINGTONNJ50993,1991-09-03,34.02327173169062,G-3005
3006,Avery,Lewis,1995-09-15,4333 Maple Street,Fairview,NC,17411,,,4333 Maple Street,FAIRVIEW,,,4333 Maple StreetFAIRVIEWNC17411,1995-09-15,29.99041752224504,G-3006
3007,Jordan,Lee,2004-08-15, 4333 Maple Street ,Fairview,NC,17411,jordan.lee@mail.com,,4333 Maple Street,FAIRVIEW,jordan.lee@mail.com,,4333 Maple StreetFAIRVIEWNC17411,2004-08-15,21.073237508555785,G-3006
3008,Alex,Anderson,1994-08-07,8924 Hill St.,Burlington,TX,46736,,,8924 Hill Street,BURLINGTON,,,8924 Hill StreetBURLINGTONTX46736,1994-08-07,31.096509240246405,G-3008
3009,Ethan,Harris,1987-10-21,3638 Oak St,Fairview,TN,92308,,,3638 Oak Street,FAIRVIEW,,,3638 Oak StreetFAIRVIEWTN92308,1987-10-21,37.89185489390828,G-3009
3010,Mason,Harris,1992-11-02, 3638 Oak Street ,Fairview,TN,92308,mason.harris@mail.com,,3638 Oak Street,FAIRVIEW,mason.harris@mail.com,,3638 Oak StreetFAIRVIEWTN92308,1992-11-02,32.85694729637235,G-3009
3011,Mia,Walker,1983-08-10,7064 Lake St,Madison,TN,66056,,,7064 Lake Street,MADISON,,,7064 Lake StreetMADISONTN66056,1983-08-10,42.08898015058179,G-3011
3012,Avery,Walker,2012-10-11,7064 Lake Street,Madison,TN,66056,,,7064 Lake Street,MADISON,,,7064 Lake StreetMADISONTN66056,2012-10-11,12.917180013689254,G-3011
3013,Owen,Smith,1986-08-08,4558 Main Street,Georgetown,NH,2030,owen.smith@example.com,,4558 Main Street,GEORGETOWN,owen.smith@example.com,,4558 Main StreetGEORGETOWNNH2030,1986-08-08,39.09377138945928,G-3013
3014,Logan,Smith,2007-09-05, 4558 Main Street ,Georgetown,NH,2030,logan.smith@test.org,,4558 Main Street,GEORGETOWN,logan.smith@test.org,,4558 Main StreetGEORGETOWNNH2030,2007-09-05,18.017796030116358,G-3013
3015,Ella,Davis,1987-09-24,4558 Main Street,Georgetown,NH,2030,ella.davis@demo.net,,4558 Main Street,GEORGETOWN,ella.davis@demo.net,,4558 Main StreetGEORGETOWNNH2030,1987-09-24,37.96577686516085,G-3013
3016,Owen,Garcia,1972-07-29, 4878 Ridge Street ,Georgetown,MN,62257,owen.garcia@family.net,,4878 Ridge Street,GEORGETOWN,owen.garcia@family.net,,4878 Ridge StreetGEORGETOWNMN62257,1972-07-29,53.11978097193703,G-3016
3017,Ella,Anderson,1994-10-15,4878 Ridge St.,Georgetown,MN,62257,,,4878 Ridge Street,GEORGETOWN,,,4878 Ridge StreetGEORGETOWNMN62257,1994-10-15,30.90759753593429,G-3016
3018,Grace,Anderson,1989-10-26,4878 Ridge St.,Georgetown,MN,62257,grace.anderson@demo.net,,4878 Ridge Street,GEORGETOWN,grace.anderson@demo.net,,4878 Ridge StreetGEORGETOWNMN62257,1989-10-26,35.87679671457906,G-3016
3019,Ethan,Lewis,1982-10-24,706 Cedar St.,Fairview,OH,94773,ethan.lewis@example.com,,706 Cedar Street,FAIRVIEW,ethan.lewis@example.com,,706 Cedar StreetFAIRVIEWOH94773,1982-10-24,42.8829568788501,G-3019
3020,Taylor,Martinez,2012-07-17,8440 Lake St,Milton,CA,55646,,,8440 Lake Street,MILTON,,,8440 Lake StreetMILTONCA55646,2012-07-17,13.152635181382614,G-3020
3021,Riley,Martinez,2000-09-11,8440 Lake St,Milton,CA,55646,,,8440 Lake Street,MILTON,,,8440 Lake StreetMILTONCA55646,2000-09-11,24.999315537303218,G-3020
3022,Parker,Brown,1987-10-02,9435 Main St,Springfield,OR,85041,parker.brown@mail.com,,9435 Main Street,SPRINGFIELD,parker.brown@mail.com,,9435 Main StreetSPRINGFIELDOR85041,1987-10-02,37.94387405886379,G-3022
3023,Mia,Brown,2004-08-07, 9435 Main Street ,Springfield,OR,85041,mia.brown@test.org,,9435 Main Street,SPRINGFIELD,mia.brown@test.org,,9435 Main StreetSPRINGFIELDOR85041,2004-08-07,21.09514031485284,G-3022
3024,Olivia,Johnson,1987-09-18,2216 Elm St,Arlington,PA,94598,olivia.johnson@test.org,,2216 Elm Street,ARLINGTON,olivia.johnson@test.org,,2216 Elm StreetARLINGTONPA94598,1987-09-18,37.98220396988364,G-3024
3025,Leo,Johnson,1992-09-25,2216 Elm St,Arlington,PA,94598,leo.johnson@test.org,,2216 Elm Street,ARLINGTON,leo.johnson@test.org,,2216 Elm StreetARLINGTONPA94598,1992-09-25,32.96098562628337,G-3024
3026,Jordan,Johnson,1993-07-28, 2216 Elm Street ,Arlington,PA,94598,jordan.johnson@demo.net,,2216 Elm Street,ARLINGTON,jordan.johnson@demo.net,,2216 Elm StreetARLINGTONPA94598,1993-07-28,32.12320328542094,G-3024
3027,Morgan,Walker,1989-07-26, 8888 Sunset Street ,Dayton,MN,71053,morgan.walker@demo.net,,8888 Sunset Street,DAYTON,morgan.walker@demo.net,,8888 Sunset StreetDAYTONMN71053,1989-07-26,36.12867898699521,G-3027
3028,Reese,Thomas,1975-09-07,1035 Valley Street,Springfield,MN,76402,reese.thomas@example.com,,1035 Valley Street,SPRINGFIELD,reese.thomas@example.com,,1035 Valley StreetSPRINGFIELDMN76402,1975-09-07,50.012320328542096,G-3028
3029,Taylor,Thomas,1999-10-27,1035 Valley St,Springfield,MN,76402,taylor.thomas@family.net,,1035 Valley Street,SPRINGFIELD,taylor.thomas@family.net,,1035 Valley StreetSPRINGFIELDMN76402,1999-10-27,25.87542778918549,G-3028
3030,Quinn,Clark,1977-11-08,8809 Ridge St.,Greenville,CA,51824,quinn.clark@family.net,,8809 Ridge Street,GREENVILLE,quinn.clark@family.net,,8809 Ridge StreetGREENVILLECA51824,1977-11-08,47.841204654346335,G-3030
